id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2020-01-12T15:21:54;Savings Account Dam;ISSUED;CREDIT_CARD;2020-01-13T08:43:25;96990
2;parsing red Chips;2020-01-13T05:40:33;methodology Albania;ISSUED;CREDIT_CARD;2020-01-12T23:07:55;9060
3;Savings Account syndicate Planner;2020-01-12T22:52:31;HDD;CANCELLED;PAYPAL;2020-01-13T04:17:34;44015
4;Rubber Buckinghamshire Games;2020-01-12T12:15:14;Digitized invoice;PAID;PAYPAL;2020-01-12T15:28:28;44975
5;e-enable Communications capacitor;2020-01-13T02:14:26;Georgia;PAID;CREDIT_CARD;2020-01-12T19:30:32;54269
6;Plastic;2020-01-12T14:49:30;Small;PAID;CASH_ON_DELIVERY;2020-01-13T08:18:01;92630
7;deposit Internal;2020-01-12T13:40:36;Highway Ergonomic;CANCELLED;CASH_ON_DELIVERY;2020-01-13T00:53:14;11959
8;bus synthesize Idaho;2020-01-12T15:34:28;Avon;ISSUED;PAYPAL;2020-01-12T18:48:14;47537
9;Montana;2020-01-12T17:23:07;Concrete Investment Account Saint Lucia;PAID;PAYPAL;2020-01-12T19:05:35;80812
10;deposit;2020-01-12T13:09:45;digital maroon;ISSUED;CREDIT_CARD;2020-01-13T04:36:25;64769
