id;placed_date;status;code;invoice_id;customer_id
1;2020-01-12T20:01:09;PENDING;deposit Station;54561;1
2;2020-01-12T14:22:57;COMPLETED;analyzing;21458;2
3;2020-01-13T07:39:33;CANCELLED;Handcrafted Plastic Shirt quantifying;2327;3
4;2020-01-13T01:54:10;PENDING;Accountability Handmade Cotton Bacon;96758;4
5;2020-01-13T03:18:32;CANCELLED;Producer infrastructures;37201;5
6;2020-01-13T04:04:39;COMPLETED;Dobra application;23823;6
7;2020-01-13T07:36:10;CANCELLED;encoding Direct;38920;7
8;2020-01-13T08:47:39;CANCELLED;granular;95680;8
9;2020-01-12T11:16:35;PENDING;methodical;32866;9
10;2020-01-12T20:47:21;COMPLETED;Optimization;97424;10
